codigo,descripcion
A00,Cólera
A00.0,Cólera debido a Vibrio cholerae 01 biotipo cholerae
A00.1,Cólera debido a Vibrio cholerae 01 biotipo El Tor
A00.9,Cólera no especificado
A01,Fiebres tifoidea y paratifoidea
A01.0,Fiebre tifoidea
A01.1,Fiebre paratifoidea A
A01.2,Fiebre paratifoidea B
A01.3,Fiebre paratifoidea C
A01.4,Fiebre paratifoidea no especificada
A02,Otras infecciones debidas a Salmonella
A02.0,Enteritis debida a Salmonella
A02.1,Septicemia debida a Salmonella
A02.2,Infecciones localizadas debidas a Salmonella
A02.8,Otras infecciones especificadas debidas a Salmonella
A02.9,Infección debida a Salmonella no especificada
A03,Shigelosis
A03.0,Shigelosis debida a Shigella dysenteriae
A03.1,Shigelosis debida a Shigella flexneri
A03.2,Shigelosis debida a Shigella boydii
A03.3,Shigelosis debida a Shigella sonnei
A03.8,Otras shigelosis
A03.9,Shigelosis de tipo no especificado
A04,Otras infecciones intestinales bacterianas
A04.0,Infección debida a Escherichia coli enteropatógena
A04.1,Infección debida a Escherichia coli enterotoxígena
A04.2,Infección debida a Escherichia coli enteroinvasiva
A04.3,Infección debida a Escherichia coli enterohemorrágica
A04.4,Otras infecciones intestinales debidas a Escherichia coli
A04.5,Enteritis debida a Campylobacter
A04.6,Enteritis debida a Yersinia enterocolitica
A04.7,Enterocolitis debida a Clostridium difficile
A04.8,Otras infecciones intestinales bacterianas especificadas
A04.9,Infección intestinal bacteriana no especificada
A05,Otras intoxicaciones alimentarias bacterianas
A05.0,Intoxicación alimentaria estafilocócica
A05.1,Botulismo
A05.2,Intoxicación alimentaria debida a Clostridium perfringens
A05.3,Intoxicación alimentaria debida a Vibrio parahaemolyticus
A05.4,Intoxicación alimentaria debida a Bacillus cereus
A05.8,Otras intoxicaciones alimentarias bacterianas especificadas
A05.9,Intoxicación alimentaria bacteriana no especificada
A06,Amebiasis
A06.0,Disentería amebiana aguda
A06.1,Amebiasis intestinal crónica
A06.2,Colitis amebiana no disentérica
A06.3,Ameboma intestinal
A06.4,Absceso amebiano del hígado
A06.5,Absceso amebiano del pulmón
A06.6,Absceso amebiano del cerebro
A06.7,Amebiasis cutánea
A06.8,Infección amebiana de otras localizaciones
A06.9,Amebiasis no especificada
A07,Otras enfermedades intestinales debidas a protozoarios
A07.0,Balantidiasis
A07.1,Giardiasis
A07.2,Criptosporidiosis
A07.3,Isosporiasis
A07.8,Otras enfermedades intestinales especificadas debidas a protozoarios
A07.9,Enfermedad intestinal debida a protozoarios no especificada
A08,Infecciones intestinales debidas a virus y otros organismos especificados
A08.0,Enteritis debida a rotavirus
A08.1,Gastroenteropatía aguda debida al agente de Norwalk
A08.2,Enteritis debida a adenovirus
A08.3,Otras enteritis virales
A08.4,Infección intestinal viral no especificada
A08.5,Otras infecciones intestinales especificadas
A09,Diarrea y gastroenteritis de presunto origen infeccioso
B34,Infección viral de sitio no especificado
B34.9,Infección viral no especificada
C50,Tumor maligno de la mama
C50.0,Pezón y areola mamaria
C50.1,Porción central de la mama
C50.2,Cuadrante superior interno de la mama
C50.3,Cuadrante inferior interno de la mama
C50.4,Cuadrante superior externo de la mama
C50.5,Cuadrante inferior externo de la mama
C50.6,Prolongación axilar de la mama
C50.8,Lesión de sitios contiguos de la mama
C50.9,Mama no especificada
D50,Anemia por deficiencia de hierro
D50.0,Anemia por deficiencia de hierro secundaria a pérdida de sangre
D50.1,Disfagia sideropénica
D50.8,Otras anemias por deficiencia de hierro
D50.9,Anemia por deficiencia de hierro sin otra especificación
E10,Diabetes mellitus tipo 1
E10.0,Diabetes mellitus tipo 1 con coma
E10.1,Diabetes mellitus tipo 1 con cetoacidosis
E10.2,Diabetes mellitus tipo 1 con complicaciones renales
E10.3,Diabetes mellitus tipo 1 con complicaciones oftálmicas
E10.4,Diabetes mellitus tipo 1 con complicaciones neurológicas
E10.5,Diabetes mellitus tipo 1 con complicaciones circulatorias periféricas
E10.6,Diabetes mellitus tipo 1 con otras complicaciones especificadas
E10.7,Diabetes mellitus tipo 1 con complicaciones múltiples
